Source;Target;Combined;Inserts;Deletes
pīt;pinam;pDEL(ī)DEL(t)INS(i)INS(n)INS(a)INS(m);INS(i),INS(n),INS(a),INS(m);DEL(ī),DEL(t)
topoloģisks;topoloģiskos;topoloģiskINS(o)s;INS(o);
vieglais;vieglie;vieglDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s)
visbaltkrieviskākais;visbaltkrieviskākajiem;visbaltkrieviskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
nacionālistiskais;nacionālistiskos;nacionālistiskDEL(ai)INS(o)s;INS(o);DEL(ai)
dārzkopis;dārzkopi;dārzkopiDEL(s);;DEL(s)
apbrīnot;apbrīnošu;apbrīnoDEL(t)INS(š)INS(u);INS(š),INS(u);DEL(t)
nebēdnīgākais;nebēdnīgākās;nebēdnīgākDEL(ai)INS(ā)s;INS(ā);DEL(ai)
raupjāks;raupjāku;raupjākDEL(s)INS(u);INS(u);DEL(s)
nevārīt;nevārījām;nevārīDEL(t)INS(jām);INS(jām);DEL(t)
gubumākonis;gubumākoņos;gubumākINS(o)INS(ņ)oDEL(n)DEL(i)s;INS(o),INS(ņ);DEL(n),DEL(i)
nespodrais;nespodro;nespodrDEL(ais)INS(o);INS(o);DEL(ais)
uzbekiskākais;uzbekiskākajiem;uzbekiskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
vissātaniskākais;vissātaniskākajā;vissātaniskākaDEL(is)INS(jā);INS(jā);DEL(is)
vistaizemiskākais;vistaizemiskākā;vistaizemiskākDEL(ais)INS(ā);INS(ā);DEL(ais)
uzbekiskākais;uzbekiskākajā;uzbekiskākaDEL(is)INS(jā);INS(jā);DEL(is)
ūsains;ūsainu;ūsainDEL(s)INS(u);INS(u);DEL(s)
latīnis;latīņos;latīDEL(n)DEL(i)INS(ņ)INS(o)s;INS(ņ),INS(o);DEL(n),DEL(i)
ziņkārais;ziņkārajiem;ziņkāraINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
nezīdīt;nezīda;nezīdDEL(ī)DEL(t)INS(a);INS(a);DEL(ī),DEL(t)
duraks;durakiem;durakDEL(s)INS(iem);INS(iem);DEL(s)
zaudēt;zaudējot;zaudēINS(jo)t;INS(jo);
aktīvāks;aktīvāku;aktīvākDEL(s)INS(u);INS(u);DEL(s)
vārtsargs;vārtsargs;vārtsargs;;
bālums;bālumam;bāluINS(m)INS(a)mDEL(s);INS(m),INS(a);DEL(s)
visdziļākais;visdziļākā;visdziļākDEL(ais)INS(ā);INS(ā);DEL(ais)
miesīgais;miesīgās;miesīgDEL(ai)INS(ā)s;INS(ā);DEL(ai)
bezjēdzīgāks;bezjēdzīgāku;bezjēdzīgākDEL(s)INS(u);INS(u);DEL(s)
baznedce;baznedces;baznedceINS(s);INS(s);
pieart;pieartu;pieartINS(u);INS(u);
nejokot;neesot jājoko;neINS(e)INS(s)INS(o)INS(t)INS( )INS(j)INS(ā)jokoDEL(t);INS(e),INS(s),INS(o),INS(t),INS( ),INS(j),INS(ā);DEL(t)
kārpa;kārpā;kārpDEL(a)INS(ā);INS(ā);DEL(a)
estētiskais;estētiskajiem;estētiskaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
svainis;svaiņus;svaDEL(i)DEL(n)iINS(ņ)INS(u)s;INS(ņ),INS(u);DEL(i),DEL(n)
smukāks;smukākas;smukākINS(a)s;INS(a);
dievišķais;dievišķās;dievišķDEL(ai)INS(ā)s;INS(ā);DEL(ai)
krāsns;krāšņu;krāDEL(s)DEL(n)DEL(s)INS(š)INS(ņ)INS(u);INS(š),INS(ņ),INS(u);DEL(s),DEL(n),DEL(s)
spannis;spannis;spannis;;
anormālākais;anormālākajām;anormālākaDEL(is)INS(jām);INS(jām);DEL(is)
visdīvainākais;visdīvaināko;visdīvainākDEL(ais)INS(o);INS(o);DEL(ais)
visslaikākais;visslaikākās;visslaikākDEL(ai)INS(ā)s;INS(ā);DEL(ai)
kosoviskāks;kosoviskākās;kosoviskākINS(ā)s;INS(ā);
helikopters;helikopters;helikopters;;
statistika;statistiku;statistikDEL(a)INS(u);INS(u);DEL(a)
svešādāks;svešādākās;svešādākINS(ā)s;INS(ā);
vismuļķīgākais;vismuļķīgākās;vismuļķīgākDEL(ai)INS(ā)s;INS(ā);DEL(ai)
slimnieks;slimnieka;slimniekDEL(s)INS(a);INS(a);DEL(s)
nepateicīgāks;nepateicīgākos;nepateicīgākINS(o)s;INS(o);
raupjš;raupju;raupjDEL(š)INS(u);INS(u);DEL(š)
nespriest;nespriedīsim;nesprieINS(d)INS(ī)sDEL(t)INS(i)INS(m);INS(d),INS(ī),INS(i),INS(m);DEL(t)
filtrs;filtrā;filtrDEL(s)INS(ā);INS(ā);DEL(s)
visciešākais;visciešākā;visciešākDEL(ais)INS(ā);INS(ā);DEL(ais)
izraēliskāks;izraēliskākos;izraēliskākINS(o)s;INS(o);
alata;alata;alata;;
visslaidākais;visslaidākajām;visslaidākaDEL(is)INS(jām);INS(jām);DEL(is)
kauls;kauls;kauls;;
mākoņainība;mākoņainībai;mākoņainībaINS(i);INS(i);
ugunīgs;ugunīgiem;ugunīgDEL(s)INS(iem);INS(iem);DEL(s)
starptautisks;starptautiskas;starptautiskINS(a)s;INS(a);
neglītāks;neglītākiem;neglītākDEL(s)INS(iem);INS(iem);DEL(s)
lauve;lauvju;lauvDEL(e)INS(j)INS(u);INS(j),INS(u);DEL(e)
caurākais;caurākais;caurākais;;
piektdaļa;piektdaļas;piektdaļaINS(s);INS(s);
gārša;gāršai;gāršaINS(i);INS(i);
starptautiskais;starptautiskajā;starptautiskaDEL(is)INS(jā);INS(jā);DEL(is)
epistemoloģisks;epistemoloģisku;epistemoloģiskDEL(s)INS(u);INS(u);DEL(s)
dīvainākais;dīvainākās;dīvainākDEL(ai)INS(ā)s;INS(ā);DEL(ai)
āboliņš;āboliņos;āboliņDEL(š)INS(o)INS(s);INS(o),INS(s);DEL(š)
vājredzīgs;vājredzīgam;vājredzīgDEL(s)INS(a)INS(m);INS(a),INS(m);DEL(s)
spējīgais;spējīgajām;spējīgaDEL(is)INS(jām);INS(jām);DEL(is)
daugavpiliete;daugavpilietes;daugavpilieteINS(s);INS(s);
vājprātīgais;vājprātīgo;vājprātīgDEL(ais)INS(o);INS(o);DEL(ais)
federatīvais;federatīvajām;federatīvaDEL(is)INS(jām);INS(jām);DEL(is)
nocepšana;nocepšanai;nocepšanaINS(i);INS(i);
viskurlākais;viskurlākajā;viskurlākaDEL(is)INS(jā);INS(jā);DEL(is)
rezultatīvais;rezultatīvo;rezultatīvDEL(ais)INS(o);INS(o);DEL(ais)
dāniskāks;dāniskākām;dāniskākDEL(s)INS(ām);INS(ām);DEL(s)
erozija;erozijā;erozijDEL(a)INS(ā);INS(ā);DEL(a)
apvienot;apvienojot;apvienINS(o)INS(j)ot;INS(o),INS(j);
ziņkārs;ziņkāru;ziņkārDEL(s)INS(u);INS(u);DEL(s)
kāsis;kāsi;kāsiDEL(s);;DEL(s)
tualetes papīrs;tualetes papīrs;tualetes papīrs;;
simbolistiskāks;simbolistiskākās;simbolistiskākINS(ā)s;INS(ā);
visblāvākais;visblāvākajam;visblāvākaDEL(is)INS(j)INS(am);INS(j),INS(am);DEL(is)
nenormālāks;nenormālāku;nenormālākDEL(s)INS(u);INS(u);DEL(s)
